title,journal,year,citation,citation_per_year,author,URL
Learning implicit brain MRI manifolds with deep learning,Medical Imaging …,2018,52,13,"['C Bermudez', 'AJ Plassard', 'LT Davis']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5990281/
Brain tumor segmentation with deep learning,MICCAI Multimodal Brain Tumor …,2015,57,8,"['V Rao', 'MS Sarabi', 'A Jaiswal']",https://www.researchgate.net/profile/Mona_Sharifi2/publication/309456897_Brain_tumor_segmentation_with_deep_learning/links/5b444445458515f71cb8a65d/Brain-tumor-segmentation-with-deep-learning.pdf
Deep learning only by normal brain PET identify unheralded brain anomalies,EBioMedicine,2019,17,5,"['H Choi', 'S Ha', 'H Kang', 'H Lee', 'DS Lee']",https://www.sciencedirect.com/science/article/pii/S2352396419302610
A novel deep learning strategy for classifying different attack patterns for deep brain implants,IEEE Access,2019,18,6,"['H Rathore', 'AK Al-Ali', 'A Mohamed', 'X Du']",https://ieeexplore.ieee.org/iel7/6287639/8600701/08645788.pdf
A survey on deep learning based brain computer interface: Recent advances and new frontiers,arXiv preprint arXiv …,2019,84,28,"['X Zhang', 'L Yao', 'X Wang', 'J Monaghan']",https://arxiv.org/pdf/1905.04149
A deep learning-based framework for automatic brain tumors classification using transfer learning,"Circuits, Systems, and …",2020,59,29,"['A Rehman', 'S Naz', 'MI Razzak', 'F Akram']",https://www.academia.edu/download/62877518/rehman201920200408-84265-4sqn0t.pdf
Deep learning for brain tumor classification,Medical Imaging 2017 …,2017,63,12,"['JS Paul', 'AJ Plassard', 'BA Landman']",https://ir.vanderbilt.edu/xmlui/bitstream/handle/1803/12122/Paul.pdf?sequence=1&isAllowed=y
Deep learning based brain tumor classification and detection system,Turkish Journal of Electrical Engineering & …,2018,55,13,"['A Ari', 'D Hanbay']",https://journals.tubitak.gov.tr/elektrik/issues/elk-18-26-5/elk-26-5-9-1801-8.pdf
An automated system for epilepsy detection using EEG brain signals based on deep learning approach,Expert Systems with Applications,2018,199,49,"['I Ullah', 'M Hussain', 'H Aboalsamh']",https://arxiv.org/pdf/1801.05412
Role of deep learning in infant brain MRI analysis,Magnetic resonance imaging,2019,25,8,"['M Mostapha', 'M Styner']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6874895/
A deep learning framework for neuroscience,Nature …,2019,208,69,"['BA Richards', 'TP Lillicrap', 'P Beaudoin', 'Y Bengio']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7115933/
Multi-institutional deep learning modeling without sharing patient data: A feasibility study on brain tumor segmentation,International MICCAI …,2018,132,33,"['MJ Sheller', 'GA Reina', 'B Edwards', 'J Martin']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6589345/
"Cognitive intelligence: deep learning, thinking, and reasoning by brain-inspired systems",International Journal of …,2016,61,10,"['Y Wang', 'B Widrow', 'LA Zadeh', 'N Howard']",https://www.researchgate.net/profile/Yingxu_Wang/publication/310613903_Cognitive_Intelligence_Deep_Learning_Thinking_and_Reasoning_by_Brain-Inspired_Systems/links/5a72dfe3aca2720bc0da7873/Cognitive-Intelligence-Deep-Learning-Thinking-and-Reasoning-by-Brain-Inspired-Systems.pdf
Deep learning trends for focal brain pathology segmentation in MRI,Machine learning for health …,2016,66,11,"['M Havaei', 'N Guizard', 'H Larochelle']",https://arxiv.org/pdf/1607.05258
Brain biomarker interpretation in asd using deep learning and fmri,… Conference on Medical …,2018,27,6,"['X Li', 'NC Dvornek', 'J Zhuang', 'P Ventola']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7519581/
Brain age prediction using deep learning uncovers associated sequence variants,Nature …,2019,68,22,"['BA Jónsson', 'G Bjornsdottir', 'TE Thorgeirsson']",https://www.nature.com/articles/s41467-019-13163-9
Deep learning enables automatic detection and segmentation of brain metastases on multisequence MRI,Journal of Magnetic …,2020,58,29,"['E Grøvik', 'D Yi', 'M Iv', 'E Tong', 'D Rubin']",https://onlinelibrary.wiley.com/doi/pdf/10.1002/jmri.26766
Deep learning with mixed supervision for brain tumor segmentation,Journal of Medical …,2019,44,14,"['P Mlynarski', 'H Delingette', 'A Criminisi']",https://www.spiedigitallibrary.org/journals/journal-of-medical-imaging/volume-6/issue-3/034002/Deep-learning-with-mixed-supervision-for-brain-tumor-segmentation/10.1117/1.JMI.6.3.034002.pdf
Deep learning of static and dynamic brain functional networks for early MCI detection,IEEE transactions on …,2019,25,8,"['TE Kam', 'H Zhang', 'Z Jiao', 'D Shen']",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7122732/
Application of deep learning in neuroradiology: Brain haemorrhage classification using transfer learning,Computational intelligence and …,2019,39,13,"['AM Dawud', 'K Yurtkan', 'H Oztoprak']",https://www.hindawi.com/journals/cin/2019/4629859/abs/
Unsupervised deep learning for Bayesian brain MRI segmentation,… Conference on Medical …,2019,31,10,"['AV Dalca', 'E Yu', 'P Golland', 'B Fischl']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7235150/
Predicting cognitive decline with deep learning of brain metabolism and amyloid imaging,Behavioural brain …,2018,95,23,"['H Choi', 'KH Jin']",https://arxiv.org/pdf/1704.06033
3D deep learning for multi-modal imaging-guided survival time prediction of brain tumor patients,International conference on …,2016,204,34,"['D Nie', 'H Zhang', 'E Adeli', 'L Liu', 'D Shen']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5278791/
Application of clustering analysis in brain gene data based on deep learning,IEEE Access,2018,17,4,"['Y Suo', 'T Liu', 'X Jia', 'F Yu']",https://ieeexplore.ieee.org/iel7/6287639/8600701/08573857.pdf
An enhanced deep learning approach for brain cancer MRI images classification using residual networks,Artificial intelligence in medicine,2020,54,27,"['SAA Ismael', 'A Mohammed', 'H Hefny']",https://www.researchgate.net/profile/Ammar_Mohammed4/publication/337877208_An_Enhanced_Deep_Learning_Approach_for_Brain_Cancer_MRI_Images_Classification_using_Residual_Networks/links/5f839acb299bf1b53e20c057/An-Enhanced-Deep-Learning-Approach-for-Brain-Cancer-MRI-Images-Classification-using-Residual-Networks.pdf
A deep learning based approach to classification of CT brain images,2016 SAI Computing Conference (SAI),2016,30,5,"['XW Gao', 'R Hui']",https://eprints.mdx.ac.uk/18918/1/SAIConference_PAPER_168-Gao.pdf
"Brain tumor analysis empowered with deep learning: A review, taxonomy, and future challenges",Brain sciences,2020,40,20,"['MW Nadeem', 'MAA Ghamdi', 'M Hussain', 'MA Khan']",https://www.mdpi.com/2076-3425/10/2/118/pdf
Brain hemorrhage diagnosis by using deep learning,… on Machine Learning …,2017,22,4,"['TD Phong', 'HN Duong', 'HT Nguyen', 'NT Trong']",https://www.researchgate.net/profile/Duong_Hieu/publication/315853163_Brain_Hemorrhage_Diagnosis_by_Using_Deep_Learning/links/59f94977458515547c26b84d/Brain-Hemorrhage-Diagnosis-by-Using-Deep-Learning.pdf
Semi-supervised deep learning of brain tissue segmentation,Neural Networks,2019,25,8,"['R Ito', 'K Nakae', 'J Hata', 'H Okano', 'S Ishii']",https://www.sciencedirect.com/science/article/am/pii/S0893608019300954
Modeling the variability in brain morphology and lesion distribution in multiple sclerosis by deep learning,… Conference on Medical …,2014,53,6,"['T Brosch', 'Y Yoo', 'DKB Li', 'A Traboulsee']",https://link.springer.com/content/pdf/10.1007/978-3-319-10470-6_58.pdf
Brain tumor segmentation using deep learning by type specific sorting of images,arXiv preprint arXiv …,2018,36,9,"['Z Sobhaninia', 'S Rezaei', 'A Noroozi', 'M Ahmadi']",https://arxiv.org/pdf/1809.07786
Brain tumor segmentation and survival prediction using multimodal MRI scans with deep learning,Frontiers in neuroscience,2019,49,16,"['L Sun', 'S Zhang', 'H Chen', 'L Luo']",https://www.frontiersin.org/articles/10.3389/fnins.2019.00810/full
Deep learning based noise reduction for brain MR imaging: tests on phantoms and healthy volunteers,… in Medical Sciences,2020,39,19,"['M Kidoh', 'K Shinoda', 'M Kitajima', 'K Isogawa']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7553817/
Deep learning-based framework for in vivo identification of glioblastoma tumor using hyperspectral images of human brain,Sensors,2019,52,17,"['H Fabelo', 'M Halicek', 'S Ortega', 'M Shahedi', 'A Szolna']",https://www.mdpi.com/1424-8220/19/4/920/pdf
Machine learning and deep learning techniques to predict overall survival of brain tumor patients using MRI images,2017 IEEE 17th International Conference on …,2017,32,6,"['L Chato', 'S Latifi']",https://www.researchgate.net/profile/Lina_Chato/publication/322562594_Machine_Learning_and_Deep_Learning_Techniques_to_Predict_Overall_Survival_of_Brain_Tumor_Patients_using_MRI_Images/links/5a70c907aca272e425ed3293/Machine-Learning-and-Deep-Learning-Techniques-to-Predict-Overall-Survival-of-Brain-Tumor-Patients-using-MRI-Images.pdf
Optimal feature selection and deep learning ensembles method for emotion recognition from human brain EEG sensors,Ieee Access,2017,96,19,"['RM Mehmood', 'R Du', 'HJ Lee']",https://ieeexplore.ieee.org/iel7/6287639/6514899/07997991.pdf
Anatomical context improves deep learning on the brain age estimation task,Magnetic resonance …,2019,14,4,"['C Bermudez', 'AJ Plassard', 'S Chaganti', 'Y Huo']",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc6689246/
World's fastest brain-computer interface: combining EEG2Code with deep learning,PloS one,2019,22,7,"['S Nagel', 'M Spüler']",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0221909
Age estimation from brain MRI images using deep learning,2017 IEEE 14th …,2017,36,7,"['TW Huang', 'HT Chen', 'R Fujimoto', 'K Ito']",http://www.cs.nthu.edu.tw/~htchen/aemri/aemri.pdf
Application of deep transfer learning for automated brain abnormality classification using MR images,Cognitive Systems Research,2019,188,62,"['M Talo', 'UB Baloglu', 'Ö Yıldırım', 'UR Acharya']",https://www.researchgate.net/profile/Oezal_Yildirim/publication/329610130_Application_of_Deep_Transfer_Learning_for_Automated_Brain_Abnormality_Classification_Using_MR_Images/links/5c12248a4585157ac1be9721/Application-of-Deep-Transfer-Learning-for-Automated-Brain-Abnormality-Classification-Using-MR-Images.pdf
Real-time automatic fetal brain extraction in fetal MRI by deep learning,2018 IEEE 15th …,2018,52,13,"['SSM Salehi', 'SR Hashemi']",https://arxiv.org/pdf/1710.09338
Deep learning–based detection and segmentation-assisted management of brain metastases,Neuro …,2020,14,7,"['J Xue', 'B Wang', 'Y Ming', 'X Liu', 'Z Jiang', 'C Wang']",https://www.researchgate.net/profile/Jie_Xue16/publication/338148851_Deep-learning-based_Detection_and_Segmentation-assisted_Management_on_Brain_Metastases/links/5ef2e093299bf1031f1f521e/Deep-learning-based-Detection-and-Segmentation-assisted-Management-on-Brain-Metastases.pdf
Multimodal brain tumor classification using deep learning and robust feature selection: A machine learning application for radiologists,Diagnostics,2020,44,22,"['MA Khan', 'I Ashraf', 'M Alhaisoni', 'R Damaševičius']",https://www.mdpi.com/2075-4418/10/8/565/htm
Fully portable and wireless universal brain–machine interfaces enabled by flexible scalp electronics and deep learning algorithm,Nature Machine …,2019,40,13,"['M Mahmood', 'D Mzurikwao', 'YS Kim', 'Y Lee']",https://kar.kent.ac.uk/75551/1/577_2_art_file_5929_pgnv5p_convrt.pdf
Deep learning and multiplex networks for accurate modeling of brain age,Frontiers in aging …,2019,22,7,"['N Amoroso', 'M La Rocca', 'L Bellantuono']",https://www.frontiersin.org/articles/10.3389/fnagi.2019.00115/full
Deep learning-based concurrent brain registration and tumor segmentation,Frontiers in …,2020,11,5,"['T Estienne', 'M Lerousseau', 'M Vakalopoulou']",https://www.frontiersin.org/articles/10.3389/fncom.2020.00017/full?&utm_source=Email_to_authors_&utm_medium=Email&utm_content=T1_11.5e1_author&utm_campaign=Email_publication&field=&journalName=Frontiers_in_Computational_Neuroscience&id=482795
Improved classification of blood-brain-barrier drugs using deep learning,Scientific reports,2019,22,7,"['R Miao', 'LY Xia', 'HH Chen', 'HH Huang', 'Y Liang']",https://www.nature.com/articles/s41598-019-44773-4
Automatic detection of a standard line for brain magnetic resonance imaging using deep learning,Applied Sciences,2019,14,4,"['H Sugimori', 'M Kawakami']",https://www.mdpi.com/2076-3417/9/18/3849/pdf
A novel deep learning framework on brain functional networks for early MCI diagnosis,… on Medical Image Computing and Computer …,2018,16,4,"['TE Kam', 'H Zhang', 'D Shen']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6519074/
Deep learning based attenuation correction of PET/MRI in pediatric brain tumor patients: evaluation in a clinical setting,Frontiers in …,2019,46,15,"['CN Ladefoged', 'L Marner', 'A Hindsholm', 'I Law']",https://www.frontiersin.org/articles/10.3389/fnins.2018.01005/full
Internet of Things meets brain–computer interface: A unified deep learning framework for enabling human-thing cognitive interactivity,IEEE Internet of …,2018,38,9,"['X Zhang', 'L Yao', 'S Zhang', 'S Kanhere']",https://arxiv.org/pdf/1805.00789
Deep learning versus classical regression for brain tumor patient survival prediction,International MICCAI …,2018,18,4,"['Y Suter', 'A Jungo', 'M Rebsamen', 'U Knecht']",https://arxiv.org/pdf/1811.04907
Evaluation of a deep learning approach for the segmentation of brain tissues and white matter hyperintensities of presumed vascular origin in MRI,NeuroImage: Clinical,2018,58,14,"['P Moeskops', 'J de Bresser', 'HJ Kuijf', 'AM Mendrik']",https://www.sciencedirect.com/science/article/pii/S2213158217302486
"Brain Tumor Classification Using Deep Learning Technique--A Comparison between Cropped, Uncropped, and Segmented Lesion Images with Different Sizes",arXiv preprint arXiv …,2020,24,12,"['AM Alqudah', 'H Alquraan', 'IA Qasmieh']",https://arxiv.org/pdf/2001.08844
Novel adversarial semantic structure deep learning for MRI-guided attenuation correction in brain PET/MRI,European journal of nuclear medicine …,2019,53,17,"['H Arabi', 'G Zeng', 'G Zheng', 'H Zaidi']",https://archive-ouverte.unige.ch/unige:121810/ATTACHMENT01
MRI segmentation and classification of human brain using deep learning for diagnosis of alzheimer's disease: a survey,Sensors,2020,17,8,"['N Yamanakkanavar', 'JY Choi', 'B Lee']",https://www.mdpi.com/1424-8220/20/11/3243/pdf
A Survey on Deep Learning for Neuroimaging-Based Brain Disorder Analysis,Frontiers in neuroscience,2020,13,6,"['L Zhang', 'M Wang', 'M Liu', 'D Zhang']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7578242/
A Deep Learning Model Based on Concatenation Approach for the Diagnosis of Brain Tumor,IEEE …,2020,18,9,"['N Noreen', 'S Palaniappan', 'A Qayyum', 'I Ahmad']",https://ieeexplore.ieee.org/iel7/6287639/8948470/09025004.pdf
Weakly supervised deep learning for brain disease prognosis using MRI and incomplete clinical scores,IEEE transactions on …,2019,27,9,"['M Liu', 'J Zhang', 'C Lian', 'D Shen']",https://mingxia.web.unc.edu/wp-content/uploads/sites/12411/2019/03/wiseDNN_TCYB2019.pdf
Using deep‐learning algorithms to classify fetal brain ultrasound images as normal or abnormal,… in Obstetrics & …,2020,16,8,"['HN Xie', 'N Wang', 'M He', 'LH Zhang']",https://obgyn.onlinelibrary.wiley.com/doi/pdf/10.1002/uog.21967
Projection Space Implementation of Deep Learning–Guided Low-Dose Brain PET Imaging Improves Performance over Implementation in Image Space,Journal of Nuclear …,2020,31,15,"['A Sanaat', 'H Arabi', 'I Mainta', 'V Garibotto']",https://jnm.snmjournals.org/content/61/9/1388.full.pdf
A novel fully automated MRI-based deep-learning method for classification of IDH mutation status in brain gliomas,Neuro …,2020,40,20,"['CG Bangalore Yogananda', 'BR Shah']",https://www.biorxiv.org/content/biorxiv/early/2019/09/06/757385.full.pdf
Decoding and mapping task states of the human brain via deep learning,Human brain …,2020,15,7,"['X Wang', 'X Liang', 'Z Jiang', 'BA Nguchu']",https://onlinelibrary.wiley.com/doi/pdf/10.1002/hbm.24891
Fully-automated deep learning-powered system for DCE-MRI analysis of brain tumors,Artificial intelligence in …,2020,11,5,"['J Nalepa', 'PR Lorenzo', 'M Marcinkiewicz']",https://arxiv.org/pdf/1907.08303
Intact metabolite spectrum mining by deep learning in proton magnetic resonance spectroscopy of the brain,Magnetic resonance in medicine,2019,22,7,"['HH Lee', 'H Kim']",https://www.researchgate.net/profile/Hyeonghun_Lee/publication/332696678_Intact_Metabolite_Spectrum_Mining_by_Deep_Learning_in_Proton_Magnetic_Resonance_Spectroscopy_of_the_Brain/links/5cc3d826a6fdcc1d49b22c51/Intact-Metabolite-Spectrum-Mining-by-Deep-Learning-in-Proton-Magnetic-Resonance-Spectroscopy-of-the-Brain.pdf
MRI-only brain radiotherapy: Assessing the dosimetric accuracy of synthetic CT images generated using a deep learning approach,Radiotherapy and …,2019,52,17,"['S Kazemifar', 'S McGuire', 'R Timmerman']",https://arxiv.org/pdf/1904.05789
Deep learning of joint myelin and T1w MRI features in normal-appearing brain tissue to distinguish between multiple sclerosis patients and healthy controls,NeuroImage: Clinical,2018,41,10,"['Y Yoo', 'LYW Tang', 'T Brosch', 'DKB Li', 'S Kolind']",https://www.sciencedirect.com/science/article/pii/S2213158217302553
A deep learning framework for brain extraction in humans and animals with traumatic brain injury,2018 IEEE 15th …,2018,14,3,"['S Roy', 'A Knutsen', 'A Korotcov']",https://www.researchgate.net/profile/Snehashis_Roy/publication/325515905_A_deep_learning_framework_for_brain_extraction_in_humans_and_animals_with_traumatic_brain_injury/links/5d83b81a299bf1996f7a84db/A-deep-learning-framework-for-brain-extraction-in-humans-and-animals-with-traumatic-brain-injury.pdf
Towards a deep learning approach to brain parcellation,2011 IEEE International Symposium …,2011,25,2,"['N Lee', 'AF Laine', 'A Klein']",https://www.researchgate.net/profile/Arno_Klein2/publication/221623676_Towards_a_deep_learning_approach_to_brain_parcellation/links/570e38cb08aed4bec6fdcf94.pdf
A novel deep learning based multi-class classification method for Alzheimer's disease detection using brain MRI data,International conference on brain informatics,2017,62,12,"['J Islam', 'Y Zhang']",https://www.academia.edu/download/55450517/B237_final.pdf
Deep learning for brain decoding,2014 IEEE International …,2014,17,2,"['O Firat', 'L Oztekin', 'FTY Vural']",https://neuro.ceng.metu.edu.tr/fmri_prj/publications/icip2014.pdf
Predicting motor outcome in preterm infants from very early brain diffusion MRI using a deep learning convolutional neural network (CNN) model,Neuroimage,2020,12,6,"['S Saha', 'A Pagnozzi', 'P Bourgeat', 'JM George']",https://www.sciencedirect.com/science/article/pii/S1053811920302949
Deep learning of brain lesion patterns for predicting future disease activity in patients with early symptoms of multiple sclerosis,Deep Learning and Data …,2016,33,5,"['Y Yoo', 'LW Tang', 'T Brosch', 'DKB Li', 'L Metz']",https://www.researchgate.net/profile/Youngjin_Yoo2/publication/310767058_Deep_Learning_of_Brain_Lesion_Patterns_for_Predicting_Future_Disease_Activity_in_Patients_with_Early_Symptoms_of_Multiple_Sclerosis/links/5836186f08aed45931c64aa4/Deep-Learning-of-Brain-Lesion-Patterns-for-Predicting-Future-Disease-Activity-in-Patients-with-Early-Symptoms-of-Multiple-Sclerosis.pdf
Deep learning vs. conventional machine learning: Pilot study of wmh segmentation in brain mri with absence or mild vascular pathology,Journal of …,2017,18,3,"['MF Rachmadi', 'MC Valdés-Hernández', 'MLF Agan']",https://www.mdpi.com/2313-433X/3/4/66/pdf
Automated image quality evaluation of structural brain MRI using an ensemble of deep learning networks,Journal of Magnetic …,2019,15,5,"['SJ Sujit', 'I Coronado', 'A Kamali']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6711839/
Computer-aided detection of brain metastases in T1-weighted MRI for stereotactic radiosurgery using deep learning single-shot detectors,Radiology,2020,17,8,"['Z Zhou', 'JW Sanders', 'JM Johnson', 'MK Gule-Monroe']",https://pubs.rsna.org/doi/pdf/10.1148/radiol.2020191479
"A service assistant combining autonomous robotics, flexible goal formulation, and deep-learning-based brain–computer interfacing",Robotics and …,2019,17,5,"['D Kuhner', 'LDJ Fiederer', 'J Aldinger', 'F Burget']",https://www.sciencedirect.com/science/article/pii/S0921889018302227
From neural networks to deep learning: zeroing in on the human brain,"XRDS: Crossroads, The ACM Magazine for Students",2011,31,2,['J Laserson'],http://ai.stanford.edu/~joni/papers/LasersonXRDS2011.pdf
Dual-energy CT for automatic organs-at-risk segmentation in brain-tumor patients using a multi-atlas and deep-learning approach,Scientific reports,2019,24,8,"['B van der Heyden', 'P Wohlfahrt', 'DBP Eekers']",https://www.nature.com/articles/s41598-019-40584-9
Deep learning human mind for automated visual classification,Proceedings of the …,2017,107,21,"['C Spampinato', 'S Palazzo', 'I Kavasidis']",http://openaccess.thecvf.com/content_cvpr_2017/papers/Spampinato_Deep_Learning_Human_CVPR_2017_paper.pdf
Multiclass semantic segmentation and quantification of traumatic brain injury lesions on head CT using deep learning: an algorithm development and …,The Lancet Digital …,2020,12,6,"['M Monteiro', 'VFJ Newcombe', 'F Mathieu', 'K Adatia']",https://www.sciencedirect.com/science/article/pii/S2589750020300856
Identification of autism spectrum disorder using deep learning and the ABIDE dataset,NeuroImage: Clinical,2018,301,75,"['AS Heinsfeld', 'AR Franco', 'RC Craddock']",https://www.sciencedirect.com/science/article/pii/S2213158217302073
Analyzing neuroimaging data through recurrent deep learning models,Frontiers in …,2019,27,9,"['AW Thomas', 'HR Heekeren', 'KR Müller']",https://www.frontiersin.org/articles/10.3389/fnins.2019.01321/full
Modelling peri-perceptual brain processes in a deep learning spiking neural network architecture,Scientific reports,2018,29,7,"['ZG Doborjeh', 'N Kasabov', 'MG Doborjeh', 'A Sumich']",https://www.nature.com/articles/s41598-018-27169-8
Fully automatic brain tumor segmentation with deep learning-based selective attention using overlapping patches and multi-class weighted cross-entropy,Medical image analysis,2020,12,6,"['M Akil', 'R Saouli', 'R Kachouri']",https://www.sciencedirect.com/science/article/am/pii/S1361841520300578
Overview of deep learning architectures for EEG-based brain imaging,2018 International Joint Conference …,2018,11,2,"['L Bozhkov', 'P Georgieva']",https://www.researchgate.net/profile/Petia_Georgieva/publication/328399052_Overview_of_Deep_Learning_Architectures_for_EEG-based_Brain_Imaging/links/5c80438f458515831f8b14c8/Overview-of-Deep-Learning-Architectures-for-EEG-based-Brain-Imaging.pdf
Enhanced drowsiness detection using deep learning: an FNIRS study,IEEE …,2019,21,7,"['MA Tanveer', 'MJ Khan', 'MJ Qureshi', 'N Naseer']",https://ieeexplore.ieee.org/iel7/6287639/8600701/08846024.pdf
Brain MRI super resolution using 3D deep densely connected neural networks,2018 IEEE 15th …,2018,119,29,"['Y Chen', 'Y Xie', 'Z Zhou', 'F Shi']",https://arxiv.org/pdf/1801.02728
Concussion classification via deep learning using whole-brain white matter fiber strains,PloS one,2018,20,5,"['Y Cai', 'S Wu', 'W Zhao', 'Z Li', 'Z Wu', 'S Ji']",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0197992
Brain tumor classification in magnetic resonance images using deep learning and wavelet transform,Journal of Biomedical Science and Engineering,2020,10,5,['AM Sarhan'],https://www.scirp.org/html/2-9102661_100953.htm
Magnetic resonance image (MRI) synthesis from brain computed tomography (CT) images based on deep learning methods for magnetic resonance (MR) …,Quantitative imaging in …,2020,11,5,"['W Li', 'Y Li', 'W Qin', 'X Liang', 'J Xu', 'J Xiong']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7276358/
A novel transfer learning approach to enhance deep neural network classification of brain functional connectomes,Frontiers in neuroscience,2018,56,14,"['H Li', 'NA Parikh', 'L He']",https://www.frontiersin.org/articles/10.3389/fnins.2018.00491/full
Differentiating Alzheimer's disease from dementia with Lewy bodies using a deep learning technique based on structural brain connectivity,… in Medical Sciences,2019,18,6,"['A Wada', 'K Tsuruta', 'R Irie', 'K Kamagata']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6630050/
Combining deep and handcrafted image features for MRI brain scan classification,IEEE …,2019,21,7,"['AM Hasan', 'HA Jalab', 'F Meziane', 'H Kahtan']",https://ieeexplore.ieee.org/iel7/6287639/8600701/08736208.pdf
