title,journal,year,citation,citation_per_year,author,URL
Predicting age from brain EEG signals—A machine learning approach,Frontiers in aging …,2018,40,10,"['O Al Zoubi', 'C Ki Wong', 'RT Kuplicki', 'H Yeh']",https://www.frontiersin.org/articles/10.3389/fnagi.2018.00184/full
Detection of subjects and brain regions related to Alzheimer's disease using 3D MRI scans based on eigenbrain and machine learning,Frontiers in …,2015,203,29,"['Y Zhang', 'Z Dong', 'P Phillips', 'S Wang', 'G Ji']",https://www.frontiersin.org/articles/10.3389/fncom.2015.00066/full
Machine Learning and AI via Brain simulations,Accessed: May,2013,28,3,['A Ng'],http://datascienceassn.org/sites/default/files/Machine%20Learning%20and%20AI%20via%20Brain%20Simulations.pdf
"Radiomics in brain tumor: image assessment, quantitative feature descriptors, and machine-learning approaches",American Journal …,2018,174,43,"['M Zhou', 'J Scott', 'B Chaudhury', 'L Hall']",http://www.ajnr.org/content/ajnr/39/2/208.full.pdf
Investigating machine learning techniques for MRI-based classification of brain neoplasms,International journal of computer …,2011,64,5,"['EI Zacharaki', 'VG Kanas', 'C Davatzikos']",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4373074/
Evaluation and classification of the brain tumor MRI using machine learning technique,Journal of Control …,2019,20,6,"['R Pugalenthi', 'MP Rajakumar', 'J Ramya']",http://ceai.srait.ro/index.php?journal=ceai&page=article&op=download&path%5B%5D=6505&path%5B%5D=1549
Machine learning on brain MRI data for differential diagnosis of Parkinson's disease and Progressive Supranuclear Palsy,Journal of neuroscience …,2014,168,21,"['C Salvatore', 'A Cerasa', 'I Castiglioni']",https://www.academia.edu/download/44031247/Machine_Learning_on_Brain_MRI_Data_for_D20160323-24679-fmkoy3.pdf
Brain tumor classification from multi-modality MRI using wavelets and machine learning,Pattern Analysis and Applications,2017,95,19,"['K Usman', 'K Rajpoot']",https://link.springer.com/article/10.1007/s10044-017-0597-8
A novel feature extraction method for machine learning based on surface electromyography from healthy brain,Neural Computing and Applications,2019,45,15,"['G Li', 'J Li', 'Z Ju', 'Y Sun', 'J Kong']",https://researchportal.port.ac.uk/portal/files/14221241/NCAA_D_18_01928_Postprint.pdf
Machine learning algorithms performed no better than regression models for prognostication in traumatic brain injury,Journal of clinical …,2020,23,11,"['BY Gravesteijn', 'D Nieboer', 'A Ercole']",https://www.sciencedirect.com/science/article/pii/S0895435619308753
High-throughput brain activity mapping and machine learning as a foundation for systems neuropharmacology,Nature …,2018,16,4,"['X Lin', 'X Duan', 'C Jacobs', 'J Ullmann', 'CY Chan']",https://www.nature.com/articles/s41467-018-07289-5
Application of machine learning on brain cancer multiclass classification,AIP Conference Proceedings,2017,28,5,"['V Panca', 'Z Rustam']",https://aip.scitation.org/doi/pdf/10.1063/1.4991237
A 128-channel extreme learning machine-based neural decoder for brain machine interfaces,IEEE transactions on biomedical …,2015,78,11,"['Y Chen', 'E Yao', 'A Basu']",https://arxiv.org/pdf/1509.07450
Classification of brain cancer type using machine learning,Journal of Artificial Intelligence,2019,17,5,['T Vijayakumar'],https://irojournals.com/aicn/V1/I2/06.pdf
A machine learning system for automated whole-brain seizure detection,Applied Computing and …,2016,103,17,"['P Fergus', 'A Hussain', 'D Hignett', 'D Al-Jumeily']",https://www.sciencedirect.com/science/article/pii/S2210832715000022
Machine-learning to characterise neonatal functional connectivity in the preterm brain,Neuroimage,2016,66,11,"['G Ball', 'P Aljabar', 'T Arichi', 'N Tusor', 'D Cox', 'N Merchant']",https://www.sciencedirect.com/science/article/pii/S1053811915007764
Evaluation of the effect of a continuous treatment: a machine learning approach with an application to treatment for traumatic brain injury,Health economics,2015,37,5,"['N Kreif', 'R Grieve', 'I Díaz', 'D Harrison']",https://onlinelibrary.wiley.com/doi/pdf/10.1002/hec.3189
Machine learning approach-based gamma distribution for brain tumor detection and data sample imbalance analysis,IEEE …,2018,51,12,"['G Manogaran', 'PM Shakeel', 'AS Hassanein']",https://ieeexplore.ieee.org/iel7/6287639/6514899/08528358.pdf
Elucidating a magnetic resonance imaging-based neuroanatomic biomarker for psychosis: classification analysis using probabilistic brain atlas and machine learning …,Biological …,2009,164,12,"['D Sun', 'TGM van Erp', 'PM Thompson', 'CE Bearden']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3192809/
Predictive modeling in pediatric traumatic brain injury using machine learning,BMC medical research …,2015,39,5,"['SL Chong', 'N Liu', 'S Barbier', 'MEH Ong']",https://link.springer.com/article/10.1186/s12874-015-0015-0
EEG mouse: A machine learning-based brain computer interface,Int. J. Adv. Comput …,2014,67,8,"['MH Alomari', 'A AbuBaker', 'A Turani']",https://pdfs.semanticscholar.org/fded/b17ebeee3a1e1a7110ce6899c8f39e2eacad.pdf
Detection and classification of HGG and LGG brain tumor using machine learning,2018 International …,2018,18,4,"['FP Polly', 'SK Shil', 'MA Hossain']",https://personalpages.manchester.ac.uk/staff/fumie.costen/pastwork/DATA/readingmaterial/braincancerLHAI2.pdf
Machine learning-based dynamic mortality prediction after traumatic brain injury,Scientific reports,2019,18,6,"['R Raj', 'T Luostarinen', 'E Pursiainen', 'JP Posti']",https://www.nature.com/articles/s41598-019-53889-6
A machine learning technique for MRI brain images,2012 8th International …,2012,30,3,"['H Mohsen', 'ESA El-Dahshan']",https://www.researchgate.net/profile/El-Sayed_El-Dahshan/publication/261468801_A_machine_learning_technique_for_MRI_brain_images/links/02e7e5325d26f921f6000000/A-machine-learning-technique-for-MRI-brain-images.pdf
Comparison of feature selection techniques in machine learning for anatomical brain MRI in dementia,Neuroinformatics,2016,59,9,"['J Tohka', 'E Moradi', 'H Huttunen']",https://www.researchgate.net/profile/Jussi_Tohka/publication/291689871_Comparison_of_Feature_Selection_Techniques_in_Machine_Learning_for_Anatomical_Brain_MRI_in_Dementia/links/5a534b03458515e7b72e9faa/Comparison-of-Feature-Selection-Techniques-in-Machine-Learning-for-Anatomical-Brain-MRI-in-Dementia.pdf
Construction of a machine learning dataset through collaboration: the RSNA 2019 brain CT hemorrhage challenge,Radiology: Artificial …,2020,30,15,[''],https://pubs.rsna.org/doi/full/10.1148/ryai.2020190211
Heterogeneity of structural and functional imaging patterns of advanced brain aging revealed via machine learning methods,Neurobiology of …,2018,35,8,"['H Eavani', 'M Habes', 'TD Satterthwaite', 'Y An']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6162110/
Human-in-the-loop wireless communications: Machine learning and brain-aware resource management,IEEE Transactions on …,2019,25,8,"['ATZ Kasgari', 'W Saad', 'M Debbah']",https://arxiv.org/pdf/1804.00209
Multiple holdouts with stability: Improving the generalizability of machine learning analyses of brain–behavior relationships,Biological …,2020,14,7,"['A Mihalik', 'FS Ferreira', 'M Moutoussis', 'G Ziegler']",https://www.sciencedirect.com/science/article/pii/S0006322319319183
Investigating risk factors and predicting complications in deep brain stimulation surgery with machine learning algorithms,World neurosurgery,2020,14,7,"['F Farrokhi', 'QD Buchlak', 'M Sikora', 'N Esmaili']",https://opus.lib.uts.edu.au/bitstream/10453/136690/4/Binder1.pdf
Machine learning of brain gray matter differentiates sex in a large forensic sample,Human brain …,2019,26,8,"['NE Anderson', 'KA Harenski', 'CL Harenski']",https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hbm.24462
Automatic evaluation of traumatic brain injury based on terahertz imaging with machine learning,Optics …,2018,30,7,"['J Shi', 'Y Wang', 'T Chen', 'D Xu', 'H Zhao', 'L Chen']",https://www.osapublishing.org/viewmedia.cfm?uri=oe-26-5-6371&seq=0
Natural language processing and machine learning algorithm to identify brain MRI reports with acute ischemic stroke,PloS one,2019,19,6,"['C Kim', 'V Zhu', 'J Obeid', 'L Lenert']",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0212778
Brain tumor detection using shape features and machine learning algorithms,International Journal of …,2015,31,4,"['DN George', 'HB Jehlol', 'ASA Oleiwi']",https://www.researchgate.net/profile/Dena_Nader/publication/330292229_Brain_Tumor_Detection_Using_Shape_features_and_Machine_Learning_Algorithms/links/5c377e2ca6fdccd6b5a19d42/Brain-Tumor-Detection-Using-Shape-features-and-Machine-Learning-Algorithms.pdf
Multimodal brain tumor classification using deep learning and robust feature selection: A machine learning application for radiologists,Diagnostics,2020,44,22,"['MA Khan', 'I Ashraf', 'M Alhaisoni', 'R Damaševičius']",https://www.mdpi.com/2075-4418/10/8/565/htm
Machine learning and deep learning techniques to predict overall survival of brain tumor patients using MRI images,2017 IEEE 17th International Conference on …,2017,32,6,"['L Chato', 'S Latifi']",https://www.researchgate.net/profile/Lina_Chato/publication/322562594_Machine_Learning_and_Deep_Learning_Techniques_to_Predict_Overall_Survival_of_Brain_Tumor_Patients_using_MRI_Images/links/5a70c907aca272e425ed3293/Machine-Learning-and-Deep-Learning-Techniques-to-Predict-Overall-Survival-of-Brain-Tumor-Patients-using-MRI-Images.pdf
Percept-related EEG classification using machine learning approach and features of functional brain connectivity,… Journal of Nonlinear …,2019,14,4,"['AE Hramov', 'V Maksimenko', 'A Koronovskii']",http://nctech-lab.ru/Content/ArticleImages/89a1e3c8-3f00-446f-92ed-fa1630cc7679.pdf
Enhancing interpretability of automatically extracted machine learning features: application to a RBM-Random Forest system on brain lesion segmentation,Medical image …,2018,58,14,"['S Pereira', 'R Meier', 'R McKinley', 'R Wiest', 'V Alves']",https://mauricioreyes.me/Publications/PereiraMedia2018.pdf
MRI-based attenuation correction for brain PET/MRI based on anatomic signature and machine learning,Physics in Medicine …,2019,47,15,"['X Yang', 'T Wang', 'Y Lei', 'K Higgins', 'T Liu']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7773209/
Machine learning to predict in-hospital morbidity and mortality after traumatic brain injury,Journal of …,2020,14,7,"['K Matsuo', 'H Aihara', 'T Nakai', 'A Morishita']",https://www.researchgate.net/profile/Kazuya_Matsuo/publication/334775750_Machine_Learning_to_Predict_In-Hospital_Morbidity_and_Mortality_after_Traumatic_Brain_Injury/links/5f3b353d299bf13404cd500c/Machine-Learning-to-Predict-In-Hospital-Morbidity-and-Mortality-after-Traumatic-Brain-Injury.pdf
A generalizable brain-computer interface (BCI) using machine learning for feature discovery,PloS one,2015,42,6,"['ES Nurse', 'PJ Karoly', 'DB Grayden', 'DR Freestone']",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0131328
Brain cancer detection from mri: A machine learning approach (tensorflow),Brain,2018,17,4,"['A Sawant', 'M Bhandari', 'R Yadav', 'R Yele', 'MS Bendale']",https://www.academia.edu/download/56821877/IRJET-V5I4468.pdf
"Visual novelty, curiosity, and intrinsic reward in machine learning and the brain",Current opinion in neurobiology,2019,15,5,"['A Jaegle', 'V Mehrpour', 'N Rust']",https://arxiv.org/pdf/1901.02478
In silico prediction of unbound brain-to-plasma concentration ratio using machine learning algorithms,Journal of Molecular …,2011,53,4,"['H Chen', 'S Winiwarter', 'M Fridén', 'M Antonsson']",https://www.academia.edu/download/49116313/j.jmgm.2011.04.00420160925-10350-1j33277.pdf
Differentiation of glioblastoma from solitary brain metastases using radiomic machine-learning classifiers,Cancer Letters,2019,49,16,"['Z Qian', 'Y Li', 'Y Wang', 'L Li', 'R Li', 'K Wang', 'S Li', 'K Tang']",http://www.cndiaosu.cc/docs/20190429143102941280.pdf
Whole brain white matter connectivity analysis using machine learning: an application to autism,NeuroImage,2018,34,8,"['F Zhang', 'P Savadjiev', 'W Cai', 'Y Song', 'Y Rathi', 'B Tunç']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5910272/
Automated quality assessment of structural magnetic resonance brain images based on a supervised machine learning algorithm,Frontiers in …,2016,44,7,"['RA Pizarro', 'X Cheng', 'A Barnett', 'H Lemaitre']",https://www.frontiersin.org/articles/10.3389/fninf.2016.00052/full
Machine-learning analysis outperforms conventional statistical models and CT classification systems in predicting 6-month outcomes in pediatric patients sustaining …,Neurosurgical …,2018,30,7,"['AT Hale', 'DP Stonko', 'A Brown', 'J Lim', 'DJ Voce']",https://thejns.org/downloadpdf/journals/neurosurg-focus/45/5/article-pE2.pdf
Distinguishing true progression from radionecrosis after stereotactic radiation therapy for brain metastases with machine learning and radiomics,International Journal of …,2018,53,13,"['L Peng', 'V Parekh', 'P Huang', 'DD Lin', 'K Sheikh']",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc6746307/
Machine learning methodologies in brain-computer interface systems,2008 Cairo International …,2008,36,2,"['AE Selim', 'MA Wahed', 'YM Kadah']",https://www.academia.edu/download/50567856/Machine_Learning_Methodologies_in_Brain-20161127-20781-1q7kj6w.pdf
The utility of independent component analysis and machine learning in the identification of the amyotrophic lateral sclerosis diseased brain,Frontiers in human …,2013,52,5,"['RC Welsh', 'LM Jelsone-Swain']",https://www.frontiersin.org/articles/10.3389/fnhum.2013.00251/full
A machine-learning approach to volitional control of a closed-loop deep brain stimulation system,Journal of neural …,2018,22,5,"['B Houston', 'M Thompson', 'A Ko']",https://iopscience.iop.org/article/10.1088/1741-2552/aae67f/pdf
Mortality prediction in patients with isolated moderate and severe traumatic brain injury using machine learning models,PloS one,2018,28,7,"['CS Rau', 'PJ Kuo', 'PC Chien', 'CY Huang', 'HY Hsieh']",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0207192
"A new frontier: The convergence of nanotechnology, brain machine interfaces, and artificial intelligence",Frontiers in neuroscience,2018,21,5,['GA Silva'],https://www.frontiersin.org/articles/10.3389/fnins.2018.00843/full
Pathological brain detection in MRI scanning via Hu moment invariants and machine learning,Journal of Experimental …,2017,59,11,"['Y Zhang', 'J Yang', 'S Wang', 'Z Dong']",https://www.researchgate.net/profile/Yu_Dong_Zhang/publication/289571547_Pathological_brain_detection_in_MRI_scanning_via_Hu_moment_invariants_and_machine_learning/links/5f6b1f5ea6fdcc00863488ec/Pathological-brain-detection-in-MRI-scanning-via-Hu-moment-invariants-and-machine-learning.pdf
Radiomics-based machine learning in differentiation between glioblastoma and metastatic brain tumors,Frontiers in oncology,2019,21,7,"['C Chen', 'X Ou', 'J Wang', 'W Guo', 'X Ma']",https://www.frontiersin.org/articles/10.3389/fonc.2019.00806/full
… of machine learning algorithms for the diagnosis of autism spectrum disorder: systematic review and meta-analysis of brain magnetic resonance imaging …,JMIR mental health,2019,15,5,"['SJ Moon', 'J Hwang', 'R Kana', 'J Torous', 'JW Kim']",https://mental.jmir.org/2019/12/e14108/
Dynamic functional network connectivity discriminates mild traumatic brain injury through machine learning,NeuroImage: Clinical,2018,41,10,"['VM Vergara', 'AR Mayer', 'KA Kiehl', 'VD Calhoun']",https://www.sciencedirect.com/science/article/pii/S2213158218300871
Biomarkers for musculoskeletal pain conditions: use of brain imaging and machine learning,Current rheumatology …,2017,19,3,"['J Boissoneault', 'L Sevel', 'J Letzen', 'M Robinson']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6875750/
A traumatic brain injury prognostic model to support in-hospital triage in a low-income country: a machine learning–based approach,Journal of …,2019,12,4,"['TAH Rocha', 'C Elahi', 'NC da Silva', 'FM Sakita']",https://thejns.org/downloadpdf/journals/j-neurosurg/132/6/article-p1961.pdf
Individual prediction of long‐term outcome in adolescents at ultra‐high risk for psychosis: Applying machine learning techniques to brain imaging data,Human brain …,2017,49,9,"['S de Wit', 'TB Ziermans', 'M Nieuwenhuis']",https://onlinelibrary.wiley.com/doi/pdf/10.1002/hbm.23410
Machine learning of DTI structural brain connectomes for lateralization of temporal lobe epilepsy,… Resonance in Medical …,2015,30,4,"['K Kamiya', 'S Amemiya', 'Y Suzuki', 'N Kunii']",https://www.jstage.jst.go.jp/article/mrms/advpub/0/advpub_2015-0027/_pdf
Predicting inpatient length of stay after brain tumor surgery: Developing machine learning ensembles to improve predictive performance,…,2019,22,7,"['WE Muhlestein', 'DS Akagi', 'JM Davies']",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7137462/
Brain connectome mapping of complex human traits and their polygenic architecture using machine learning,Biological …,2020,11,5,"['LA Maglanoc', 'T Kaufmann', 'D van der Meer']",https://oda.oslomet.no/bitstream/handle/10642/7871/UKBB_FC_with_figures.pdf?sequence=1&isAllowed=n
Detecting mental states by machine learning techniques: the Berlin brain–computer interface,Brain-computer …,2009,29,2,"['B Blankertz', 'M Tangermann', 'C Vidaurre']",http://ndl.ethernet.edu.et/bitstream/123456789/77826/1/233.pdf#page=126
Deep learning vs. conventional machine learning: Pilot study of wmh segmentation in brain mri with absence or mild vascular pathology,Journal of …,2017,18,3,"['MF Rachmadi', 'MC Valdés-Hernández', 'MLF Agan']",https://www.mdpi.com/2313-433X/3/4/66/pdf
Machine learning classification to identify the stage of brain-computer interface therapy for stroke rehabilitation using functional connectivity,Frontiers in …,2018,17,4,"['R Mohanty', 'AM Sinha', 'AB Remsik', 'KC Dodd']",https://www.frontiersin.org/articles/10.3389/fnins.2018.00353/full
Machine learning and applications for brain-computer interfacing,Symposium on Human …,2007,25,1,"['KR Müller', 'M Krauledat', 'G Dornhege', 'G Curio']",https://link.springer.com/content/pdf/10.1007/978-3-540-73345-4_80.pdf
Detection of mild traumatic brain injury by machine learning classification using resting state functional network connectivity and fractional anisotropy,Journal of …,2017,61,12,"['VM Vergara', 'AR Mayer', 'E Damaraju', 'KA Kiehl']",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc5333571/
Autism classification using brain functional connectivity dynamics and machine learning,arXiv preprint arXiv …,2017,17,3,"['R Tejwani', 'A Liska', 'H You', 'J Reinen', 'P Das']",https://arxiv.org/pdf/1712.08041
Kernel-ARMA for Hand Tracking and Brain-Machine interfacing During 3D Motor Control.,NIPS,2008,72,5,"['L Shpigelman', 'H Lalazar', 'E Vaadia']",https://www.researchgate.net/profile/Lavi_Shpigelman/publication/203918319_Kernel-ARMA_for_hand_tracking_and_brain-machine_interfacing_during_3D_motor_control/links/0fcfd506c1393b3c9a000000/Kernel-ARMA-for-hand-tracking-and-brain-machine-interfacing-during-3D-motor-control.pdf
… -open and eyes-closed resting states with opposite brain activity in sensorimotor and occipital regions: multidimensional evidences from machine learning …,Frontiers in human …,2018,25,6,"['J Wei', 'T Chen', 'C Li', 'G Liu', 'J Qiu', 'D Wei']",https://www.frontiersin.org/articles/10.3389/fnhum.2018.00422/full
Learning to decode cognitive states from brain images,Machine learning,2004,856,47,"['TM Mitchell', 'R Hutchinson', 'RS Niculescu', 'F Pereira']",https://link.springer.com/content/pdf/10.1023/B:MACH.0000035475.85309.1b.pdf
Blood brain barrier permeability prediction using machine learning techniques: an update,Current pharmaceutical …,2019,11,3,"['D Saxena', 'A Sharma', 'MH Siddiqui']",https://www.researchgate.net/profile/Rajnish-Kumar-33/publication/334825647_Blood_Brain_Barrier_Permeability_Prediction_Using_Machine_Learning_Techniques_An_Update/links/5ffddd81299bf140888f7c82/Blood-Brain-Barrier-Permeability-Prediction-Using-Machine-Learning-Techniques-An-Update.pdf
Bayesian machine learning applied in a brain-computer interface for disabled users,NA,2007,38,2,['U Hoffmann'],https://infoscience.epfl.ch/record/111341/files/EPFL_TH3924.pdf
Improved prediction of blood–brain barrier permeability through machine learning with combined use of molecular property-based descriptors and fingerprints,The AAPS journal,2018,22,5,"['Y Yuan', 'F Zheng', 'CG Zhan']",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7737623/
“The Brain Is the Prisoner of Thought”: A Machine-Learning Assisted Quantitative Narrative Analysis of Literary Metaphors for Use in Neurocognitive Poetics,Metaphor and Symbol,2017,32,6,"['AM Jacobs', 'A Kinder']",https://www.researchgate.net/profile/Arthur_Jacobs/project/Neurocognitive-Poetics/attachment/591544db1042bf5867e4f7a2/AS:493060144746496@1494566107806/download/jacobs+kinder17MS+preprint.pdf?context=ProjectUpdatesLog
Systematic analysis of machine learning algorithms on EEG data for brain state intelligence,2015 IEEE International …,2015,17,2,"['A Chan', 'CE Early', 'S Subedi', 'Y Li']",https://www.researchgate.net/profile/Hong_Lin5/publication/304285998_Systematic_analysis_of_machine_learning_algorithms_on_EEG_data_for_brain_state_intelligence/links/5c95357292851cf0ae910b64/Systematic-analysis-of-machine-learning-algorithms-on-EEG-data-for-brain-state-intelligence.pdf
Quantitative EEG reactivity and machine learning for prognostication in hypoxic-ischemic brain injury,Clinical …,2019,17,5,"['E Amorim', 'M Van der Stoel', 'SB Nagaraj']",https://europepmc.org/articles/pmc6751020/bin/nihms1537418-supplement-4.docx
Visual network alterations in brain functional connectivity in chronic low back pain: A resting state functional connectivity and machine learning study,NeuroImage: Clinical,2019,24,8,"['W Shen', 'Y Tu', 'RL Gollub', 'A Ortiz', 'V Napadow', 'S Yu']",https://www.sciencedirect.com/science/article/pii/S2213158219301251
Classification using deep learning neural networks for brain tumors,Future Computing and …,2018,309,77,"['H Mohsen', 'ESA El-Dahshan', 'ESM El-Horbaty']",https://www.sciencedirect.com/science/article/pii/S2314728817300636
Machine learning approach for brain tumor detection,Proceedings of the 3rd …,2012,16,1,"['M Al-Ayyoub', 'G Husari', 'O Darwish']",https://www.researchgate.net/profile/Mahmoud_Al-Ayyoub/publication/262163807_Machine_learning_approach_for_brain_tumor_detection/links/559ba0ae08ae793d13825315.pdf
Abnormal resting-state functional connectivity in the whole brain in lifelong premature ejaculation patients based on machine learning approach,Frontiers in …,2019,13,4,"['Z Xu', 'X Yang', 'M Gao', 'L Liu', 'J Sun', 'P Liu']",https://www.frontiersin.org/articles/10.3389/fnins.2019.00448/full
Investigation of machine learning approaches for traumatic brain injury classification via EEG assessment in mice,Sensors,2020,10,5,"['M Vishwanath', 'S Jafarlou', 'I Shin', 'MM Lim', 'N Dutt']",https://www.mdpi.com/1424-8220/20/7/2027/pdf
Model-based comparison of deep brain stimulation array functionality with varying number of radial electrodes and machine learning feature sets,Frontiers in …,2016,26,4,"['BA Teplitzky', 'LM Zitella', 'YZ Xiao']",https://www.frontiersin.org/articles/10.3389/fncom.2016.00058/full
A machine learning approach for the identification of key markers involved in brain development from single-cell transcriptomic data,BMC genomics,2016,22,3,"['Y Hu', 'T Hase', 'HP Li', 'S Prabhakar', 'H Kitano', 'SK Ng']",https://link.springer.com/article/10.1186/s12864-016-3317-7
Backpropagation through time and the brain,Current opinion in neurobiology,2019,43,14,"['TP Lillicrap', 'A Santoro']",https://www.sciencedirect.com/science/article/pii/S0959438818302009
Affective level design for a role-playing videogame evaluated by a brain–computer interface and machine learning methods,The Visual Computer,2017,23,4,"['F Balducci', 'C Grana', 'R Cucchiara']",https://iris.unimore.it/bitstream/11380/1109174/2/2016VC.pdf
Motor imagery classification in Brain computer interface (BCI) based on EEG signal by using machine learning technique,Bulletin of Electrical Engineering …,2019,16,5,"['NEM Isa', 'A Amir', 'MZ Ilyas', 'MS Razalli']",https://beei.org/index.php/EEI/article/download/1402/1120
… and multifractal properties of electrographic recordings of human brain activity: toward its use as a signal feature for machine learning in clinical applications,Frontiers in …,2018,16,4,"['LGS França', 'JGV Miranda', 'M Leite', 'NK Sharma']",https://www.frontiersin.org/articles/10.3389/fphys.2018.01767/full
Inverse problems in machine learning: an application to brain activity interpretation,Journal of Physics: Conference Series,2008,20,1,"['M Prato', 'L Zanni']",https://iopscience.iop.org/article/10.1088/1742-6596/135/1/012085/pdf
